No.,도메인,세부 도메인,의도 (Intention),문장
758,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행으로 가려는데 길 상태 양호하니?
759,주행 정보,주행 기록,자율 주행 주행 기록,어제까지 자율 운행으로 달린 총 소요 거리 알려 줘.
760,차선 제어,갓길 이동 정차,갓길 이동 명령,십 분 동안 갓길로 운전 부탁해.
761,차량 제어,운전 제어,일자 따라 가기,앞에 있는 차 뒤쫓아.
762,차량 제어,긴급 차량,에스오에스차량 양보,경찰차 진로 방해 안 하도록 해.
763,차량 제어,창문 제어,시동석 창문 열기,바람 좀 느끼게 시동석 창문 내려 줘.
764,차량 제어,도어 제어,전체 차문 열기,내리고 트렁크에서 짐 꺼내게 전체 차 문 다 열어.
765,차량 제어,속도 제어,주행 속도 세팅,육십으로 주행 속도 설정.
766,차량 제어,좌석 제어,좌석 통풍 끄기,지금 바로 시트 바람 좀 꺼 줄래?
767,차량 제어,긴급 차량,에스오에스차량 양보,경찰차 먼저 지나가게 옆 차선으로 이동해.
768,차량 제어,좌석 제어,좌석 통풍 켜기,전 자리 통풍 옵션 켜 줘.
769,차량 제어,운전 제어,일자 따라 가기,다른 거 필요 없이 앞 차만 따라 가.
770,차량 제어,창문 제어,전체 창문 닫기,전 창문 다 닫아 줘.
771,비상 제어,보험사 연락,자동 보험사 연락,이거 어떻게 해야 하는지 보험회사한테 자동으로 전화 좀 해 줄래?
772,차량 제어,창문 제어,조수석 창문 닫기,조수석 윈도만 클로즈 해 줄래?
773,차선 제어,갓길 이동 정차,갓길 이동 명령,지금으로부터 두 번째로 나타나는 갓길에 차 정차해 줘.
774,차량 제어,공조 제어,히터 제어,히터 풍향 위로 해 줘.
775,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차문 이제 열어.
776,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 통풍 기능 좀 이용해야 할 것 같아.
777,차선 제어,차선 변경,차선 변경,차선 옆으로 옮기자.
778,차량 제어,운전 제어,일자 추월,앞에 초록색 차보다 무조건 빨리 달려.
779,차량 제어,좌석 제어,좌석 온도 제어,등에 땀나니까 의자 난방 꺼도 돼.
780,차량 제어,공조 제어,에어컨 제어,에어컨 약 냉방으로 가동해 줘.
781,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 닫혀있으면 열어 줘.
782,차량 제어,좌석 제어,좌석 통풍 켜기,좌석마다 통풍 기능 작동해 줘.
783,주행 정보,주행 기록,자율 주행 주행 기록,제일 최근에 어디서 자율 주행했었는지 알려 줘.
784,차량 제어,창문 제어,조수석 창문 열기,도착하면 조수석 창문 조금만 내려놔.
785,차량 제어,도어 제어,조수석 차문 열기,조수석 차 문 열었어?
786,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 실시 가능한지 봐 줘.
787,차량 제어,운전 제어,일자 추월,앞 차 추월에 실패하면 바뀐 차선에서 원래대로 주행해.
788,비상 제어,보험사 연락,자동 보험사 연락,보험회사와 자동 연결 온 해 줘.
789,차량 제어,속도 제어,주행 속도 세팅,팔십 킬로미터 넘지 말도록.
790,차량 제어,긴급 차량,에스오에스차량 양보,구급차 진로 양보해 줘.
791,차선 제어,갓길 이동 정차,갓길 이동 명령,지금 빨리 오른쪽 갓길 차선으로 이동해 줘.
792,차량 제어,속도 제어,주행 속도 세팅,속도 육십을 초과하지 말아 줘.
793,차량 제어,공조 제어,에어컨 제어,아직 더워 에어컨 온도 좀 더 내려 줘.
794,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 지금 속도가 뭐야?
795,차선 제어,갓길 이동 정차,갓길 이동 명령,근처 갓길로 가 줘.
796,주행 정보,주행 기록,자율 주행 주행 기록,저번 주 자율 주행 기록 요약해서 알려 줘.
797,차량 제어,좌석 제어,좌석 통풍 켜기,밖에서 너무 땀 흘리고 들어왔는데 좌석 통풍 켜 줘.
798,차량 제어,긴급 차량,에스오에스차량 양보,구급차 보내.
799,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사에 연락 닿게 해 줄래?
800,차량 제어,자율 주행 시작,자율 주행 모드 시작,이제부터 자율 운행해 줘.
801,차량 제어,긴급 차량,에스오에스차량 양보,양보해서 구급차 뒤로 가.
802,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 먼저 보내자.
803,차량 제어,좌석 제어,좌석 통풍 끄기,의자에서 나오는 바람 꺼.
804,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차 문 빼고 잠금 풀어 줘.
805,차량 제어,속도 제어,주행 속도 세팅,평균 시속 육십킬로미터로 목적지까지 운전해 줘.
806,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 확인 필요해.
807,차량 제어,공조 제어,에어컨 제어,에어컨 온도 너무 낮은데 올려 줘.
808,차량 제어,속도 제어,주행 속도 세팅,운전 속도 평균 육십킬로미터로 달릴게.
809,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록 필요해.
810,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드로 전환시켜 줘.
811,차량 제어,공조 제어,히터 제어,히터 온도 빵빵하게 올려 줘.
812,차선 제어,차선 변경,왼쪽으로 차선 변경,우리 차 왼쪽 차선으로 가야 해.
813,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 시작으로 수정해 줘.
814,차량 제어,좌석 제어,좌석 온도 올리기,운전석 시트 뜨거운 상태로 만들어 줘.
815,차량 제어,창문 제어,전체 창문 열기,실내 공기 탁할 때 모든 창문 다 열어 줘.
816,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 켜두고 싶어.
817,차량 제어,운전 제어,일자 추월,앞에 있는 차 추월 시작.
818,비상 제어,차량 비상 정지,비상 정지 모드 끄기,도로가 텅 비었네. 비상 정지 모드 끄고 가자.
819,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 속도 몇으로 설정되어 있어?
820,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 쓸 게.
821,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 열어젖혀.
822,차선 제어,차선 변경,왼쪽으로 차선 변경,차도 너무 막히니까 왼쪽으로 차선 변경해 줘.
823,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험회사랑 접촉해야 해.
824,차량 제어,도어 제어,조수석 차문 열기,조수석 차 문 열어야 해.
825,차량 제어,도어 제어,조수석 차문 열기,조수석에 앉은 사람 나가기 쉽게 문 열어 줘.
826,주행 정보,속도 확인,자율 주행 속도 확인,몇 킬로미터로 달리고 있는지 자율 주행 속도 알려 줘.
827,비상 제어,차량 비상 정지,비상 정지 모드 켜기,브레이크를 밟고 있는 상태에서도 비상 정지가 가능하도록 해 줘.
828,차량 제어,창문 제어,전체 창문 닫기,모든 창문 다 끝까지 닫아 줘.
829,차량 제어,운전 제어,일자 추월,앞 차를 지나쳐 가.
830,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 시속이 얼마인지 브리핑해.
831,차량 제어,창문 제어,전체 창문 닫기,오분 뒤에 열린 창문 다 닫아 줘.
832,차량 제어,운전 제어,일자 추월,앞에 차 지금 바로 추월하도록 해.
833,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 통풍 켜 보자.
834,차량 제어,창문 제어,전체 창문 닫기,전체 창문 닫아 볼까?
835,차량 제어,속도 제어,주행 속도 세팅,주행 속도 빠르게 부탁해.
836,차량 제어,좌석 제어,좌석 온도 내리기,시트 온도 이십육 도까지 내려 줄래?
837,비상 제어,보험사 연락,자동 보험사 연락,보험회사에 저절로 연락이 닿도록 설정해 놔.
838,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 안 켜도 될 거 같아.
839,차선 제어,차선 변경,왼쪽으로 차선 변경,차 안 올 때 왼쪽 차선으로 바꿔 줘.
840,차량 제어,공조 제어,에어컨 제어,에어컨 파워 올려 줘.
841,차선 제어,차선 유지,차선 유지 모드 켜기,현재 차선 계속 타고 가.
842,차량 제어,운전 제어,일자 따라 가기,앞 차랑 가는 길이 똑같네 붙어서 가 줘.
843,차량 제어,좌석 제어,좌석 온도 제어,의자 시트에 열선 작동시켜 줘.
844,주행 정보,주행 기록,자율 주행 주행 기록,작년에 가장 길게 자율 주행한 코스가 어떻게 돼?
845,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 언제쯤 가능한지 알려 줘.
846,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 실시해 줘.
847,차량 제어,좌석 제어,좌석 통풍 켜기,시트 통풍 작동시켜 줘.
848,차량 제어,창문 제어,전체 창문 열기,이 터널 지나면 창문 다 열어 줘.
849,비상 제어,보험사 연락,자동 보험사 연락,보험사에 전화연결 자동으로 부탁할게.
850,차량 제어,긴급 차량,에스오에스차량 양보,구급차 먼저 보내야 될 것 같은데?
851,차선 제어,차선 변경,왼쪽으로 차선 변경,차 안 막히는 왼쪽 차선으로 가.
852,차량 제어,운전 제어,일자 따라 가기,지금 보이는 앞 차 따라 운행 해.
853,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 거리 현재 얼마나 되니?
854,차량 제어,좌석 제어,좌석 온도 올리기,운전석과 조수석만 시트 따뜻하게.
855,주행 정보,주행 기록,자율 주행 주행 기록,여태까지 자율 주행한 기록 확인해.
856,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,도로 상황 고려해서 현재 자율 주행 모드를 사용할 수 있을지 판단해.
857,차량 제어,좌석 제어,좌석 온도 내리기,너무 뜨거우니까 좌석 온도 낮 춰.
858,차량 제어,좌석 제어,좌석 통풍 끄기,의자 바람 나오는 거 이제 꺼도 돼.
859,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 차문은 닫자.
860,차량 제어,창문 제어,조수석 창문 닫기,바깥공기가 너무 안 좋아 조수석 창문 닫아 줘.
861,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 선택해 줘.
862,차선 제어,차선 변경,왼쪽으로 차선 변경,뒤 차 양보하게 왼쪽 차선으로 변경해서 가.
863,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 최장 기록 보여 줘.
864,비상 제어,보험사 연락,자동 보험사 연락,보험사 측 사람이랑 자동으로 연결해 줘.
865,차량 제어,운전 제어,일자 추월,앞 차 상대로 우리가 더 앞으로 가자.
866,차량 제어,도어 제어,조수석 차문 열기,조수석에 누가 탈거야 문 열어 줘.
867,비상 제어,차량 비상 정지,비상 정지 모드 켜기,지금 비상 정지 모드 시작으로 전환할게.
868,차량 제어,좌석 제어,좌석 온도 올리기,시트 온도 올라 가게 해 줘.
869,주행 정보,주행 기록,자율 주행 주행 기록,일주일에 평균 얼마나 자율 주행을 사용했어?
870,차량 제어,운전 제어,일자 추월,정차 따라잡고 싶으니깐 최대한 붙어.
871,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 켬.
872,주행 정보,주행 기록,자율 주행 주행 기록,여태 얼마나 달렸는지 계산해서 알려 줘.
873,차량 제어,운전 제어,일자 따라 가기,앞에 차 놓치지 말고 잘 봐.
874,차선 제어,갓길 이동 정차,갓길 이동 명령,잠깐 갓길로 차량 세워 봐.
875,차량 제어,운전 제어,일자 추월,앞 차 좀 앞질러 줄래?
876,차량 제어,도어 제어,전체 차문 닫기,네가 차 문 좀 다 닫아 줘.
877,차선 제어,차선 유지,차선 유지 모드 켜기,차선 쭉 일정하게 해 줘.
878,차량 제어,좌석 제어,좌석 통풍 켜기,운전할 때 운전석 시트 통풍 실행해 줘.
879,비상 제어,보험사 연락,자동 보험사 연락,에어백이 터지면 보험사에 연락해 줘.
880,차량 제어,도어 제어,뒷자리 차문 닫기,다시 열라고 할 때까지 못 열게 해.
881,차량 제어,도어 제어,전체 차문 닫기,다 탔으니까 차 문 닫아 줘.
882,차량 제어,자율 주행 시작,자율 주행 모드 시작,나는 자율 주행 모드를 사용하고 싶어.
883,차량 제어,운전 제어,일자 따라 가기,앞 차 속도대로 운전하면 되겠다.
884,차량 제어,좌석 제어,좌석 통풍 켜기,시트 통풍으로 땀 없애 줘.
885,차량 제어,공조 제어,에어컨 제어,에어컨 터보로 전환해 줘.
886,주행 정보,속도 확인,자율 주행 속도 확인,자율 주행 시속이 육십 킬로미터인지 확인해 봐.
887,차량 제어,좌석 제어,좌석 통풍 끄기,너무 추워서 시트 통풍 좀만 낮춰 줘.
888,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤에서 계속 따라 가 줘.
889,비상 제어,보험사 연락,자동 보험사 연락,보험사 콜 자동으로 연결해 줘.
890,차선 제어,차선 변경,왼쪽으로 차선 변경,차선 왼쪽으로 가 주겠니?
891,차량 제어,공조 제어,히터 제어,히터 바람 방향 위 아래로 반복해 줘.
892,주행 정보,주행 기록,자율 주행 주행 기록,주행 기록 체크해야겠어.
893,차량 제어,좌석 제어,좌석 온도 올리기,차 안의 모든 시트 따뜻하게 해 줘.
894,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 온 해 줄래?
895,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록 브리핑 해 줘.
896,차량 제어,운전 제어,일자 추월,빨리 가야 돼 맨 앞으로 가 줘.
897,차량 제어,도어 제어,조수석 차문 열기,도착하면 조수석 차문부터 열어 줘.
898,비상 제어,차량 비상 정지,비상 정지 모드 켜기,사고 확인을 위해 비상 정지 모드 켜.
899,차량 제어,운전 제어,일자 추월,앞 차 좀 역전해 줄래?
900,차선 제어,차선 변경,차선 변경,이따 우회전할 거니까 미리 차선 변경해 놔.
901,차량 제어,공조 제어,히터 제어,히터 바람 아주 약하게 설정해서 틀어 줘.
